[2025-09-13 12:03:23,690] 17 root - INFO - Initiate Data Ingestion
[2025-09-13 12:03:25,506] 65 root - INFO - Performed train test split on the dataframe
[2025-09-13 12:03:25,506] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-13 12:03:25,507] 75 root - INFO - Exporting train and test file path.
[2025-09-13 12:03:26,134] 84 root - INFO - Exported train and test file path.
[2025-09-13 12:03:26,137] 19 root - INFO - Data Ingestion completed
[2025-09-13 12:03:26,144] 23 root - INFO - Initiate data Validation
[2025-09-13 12:03:26,342] 31 root - INFO - Required no of columns:2
[2025-09-13 12:03:26,344] 32 root - INFO - Data Frame has columns:31
[2025-09-13 12:03:26,344] 31 root - INFO - Required no of columns:2
[2025-09-13 12:03:26,344] 32 root - INFO - Data Frame has columns:31
[2025-09-13 12:03:27,176] 25 root - INFO - Data Validation completed
[2025-09-13 12:03:27,177] 50 root - INFO - Data Transformation initiated
[2025-09-13 12:03:27,343] 37 root - INFO - Creating the Data Transformation Pipeline.
[2025-09-13 12:03:27,398] 65 root - INFO - Object saved at Artifacts\data_transformation\transformed_objects\preprocessing.pkl
[2025-09-13 12:03:27,403] 29 root - INFO - Data Transformation Completed.
