[2025-09-13 11:57:31,459] 17 root - INFO - Initiate Data Ingestion
[2025-09-13 11:57:33,342] 65 root - INFO - Performed train test split on the dataframe
[2025-09-13 11:57:33,342] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-13 11:57:33,343] 75 root - INFO - Exporting train and test file path.
[2025-09-13 11:57:33,757] 84 root - INFO - Exported train and test file path.
[2025-09-13 11:57:33,759] 19 root - INFO - Data Ingestion completed
[2025-09-13 11:57:33,766] 23 root - INFO - Initiate data Validation
[2025-09-13 11:57:33,950] 31 root - INFO - Required no of columns:2
[2025-09-13 11:57:33,950] 32 root - INFO - Data Frame has columns:31
[2025-09-13 11:57:33,950] 31 root - INFO - Required no of columns:2
[2025-09-13 11:57:33,951] 32 root - INFO - Data Frame has columns:31
[2025-09-13 11:57:34,719] 25 root - INFO - Data Validation completed
[2025-09-13 11:57:34,719] 50 root - INFO - Data Transformation initiated
[2025-09-13 11:57:34,885] 37 root - INFO - Creating the Data Transformation Pipeline.
[2025-09-13 11:57:34,948] 65 root - INFO - Object saved at Artifacts\data_transformation\transformed_objects\preprocessing.pkl
[2025-09-13 11:57:34,954] 29 root - INFO - Data Transformation Completed.
