[2025-09-12 16:06:15,659] 14 root - INFO - Initiate Data Ingestion
[2025-09-12 16:06:17,981] 65 root - INFO - Performed train test split on the dataframe
[2025-09-12 16:06:17,982] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-12 16:06:17,982] 75 root - INFO - Exporting train and test file path.
[2025-09-12 16:06:18,587] 84 root - INFO - Exported train and test file path.
[2025-09-12 16:06:18,590] 16 root - INFO - Data Ingestion completed
[2025-09-12 16:06:18,618] 20 root - INFO - Initiate data Validation
[2025-09-12 16:06:18,855] 31 root - INFO - Required no of columns:2
[2025-09-12 16:06:18,857] 32 root - INFO - Data Frame has columns:31
[2025-09-12 16:06:18,857] 31 root - INFO - Required no of columns:2
[2025-09-12 16:06:18,857] 32 root - INFO - Data Frame has columns:31
[2025-09-12 16:06:19,734] 22 root - INFO - Data Validation completed
[2025-09-12 16:06:19,734] 50 root - INFO - Data Transformation initiated
[2025-09-12 16:06:19,905] 37 root - INFO - Creating the Data Transformation Pipeline.
[2025-09-12 16:06:19,959] 47 root - INFO - Object saved in the file.
[2025-09-12 16:06:19,963] 26 root - INFO - Data Transformation Completed.
