[2025-09-11 18:29:31,693] 14 root - INFO - Initiate Data Ingestion
[2025-09-11 18:29:33,807] 65 root - INFO - Performed train test split on the dataframe
[2025-09-11 18:29:33,807] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-11 18:29:33,807] 75 root - INFO - Exporting train and test file path.
[2025-09-11 18:29:34,240] 84 root - INFO - Exported train and test file path.
[2025-09-11 18:29:34,244] 16 root - INFO - Data Ingestion completed
[2025-09-11 18:29:34,253] 20 root - INFO - Initiate data Validation
[2025-09-11 18:29:34,457] 31 root - INFO - Required no of columns:2
[2025-09-11 18:29:34,460] 32 root - INFO - Data Frame has columns:31
[2025-09-11 18:29:34,460] 31 root - INFO - Required no of columns:2
[2025-09-11 18:29:34,460] 32 root - INFO - Data Frame has columns:31
[2025-09-11 18:29:35,409] 22 root - INFO - Data Validation completed
[2025-09-11 18:29:35,409] 50 root - INFO - Data Transformation initiated
[2025-09-11 18:29:35,590] 37 root - INFO - Creating the Data Transformation Pipeline.
[2025-09-11 18:29:35,647] 49 root - INFO - Object saved in the file.
[2025-09-11 18:29:35,652] 26 root - INFO - Data Transformation Completed.
