[2025-09-13 11:55:06,386] 17 root - INFO - Initiate Data Ingestion
[2025-09-13 11:55:08,390] 65 root - INFO - Performed train test split on the dataframe
[2025-09-13 11:55:08,390] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-13 11:55:08,391] 75 root - INFO - Exporting train and test file path.
[2025-09-13 11:55:08,857] 84 root - INFO - Exported train and test file path.
[2025-09-13 11:55:08,862] 19 root - INFO - Data Ingestion completed
[2025-09-13 11:55:08,873] 23 root - INFO - Initiate data Validation
[2025-09-13 11:55:09,063] 31 root - INFO - Required no of columns:2
[2025-09-13 11:55:09,064] 32 root - INFO - Data Frame has columns:31
[2025-09-13 11:55:09,065] 31 root - INFO - Required no of columns:2
[2025-09-13 11:55:09,065] 32 root - INFO - Data Frame has columns:31
[2025-09-13 11:55:09,848] 25 root - INFO - Data Validation completed
[2025-09-13 11:55:09,848] 50 root - INFO - Data Transformation initiated
[2025-09-13 11:55:10,005] 37 root - INFO - Creating the Data Transformation Pipeline.
[2025-09-13 11:55:10,072] 65 root - INFO - Object saved at Artifacts\data_transformation\transformed_objects\preprocessing.pkl
