[2025-09-11 18:24:10,000] 14 root - INFO - Initiate Data Ingestion
[2025-09-11 18:24:12,056] 65 root - INFO - Performed train test split on the dataframe
[2025-09-11 18:24:12,056] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-11 18:24:12,059] 75 root - INFO - Exporting train and test file path.
[2025-09-11 18:24:12,469] 84 root - INFO - Exported train and test file path.
[2025-09-11 18:24:12,471] 16 root - INFO - Data Ingestion completed
[2025-09-11 18:24:12,481] 20 root - INFO - Initiate data Validation
[2025-09-11 18:24:12,693] 31 root - INFO - Required no of columns:2
[2025-09-11 18:24:12,695] 32 root - INFO - Data Frame has columns:31
[2025-09-11 18:24:12,695] 31 root - INFO - Required no of columns:2
[2025-09-11 18:24:12,695] 32 root - INFO - Data Frame has columns:31
[2025-09-11 18:24:13,509] 22 root - INFO - Data Validation completed
[2025-09-11 18:24:13,509] 50 root - INFO - Data Transformation initiated
[2025-09-11 18:24:13,676] 37 root - INFO - Creating the Data Transformation Pipeline.
[2025-09-11 18:24:13,739] 49 root - INFO - Object saved in the file.
[2025-09-11 18:24:13,743] 26 root - INFO - Data Transformation Completed.
